date,diario_existe,paginas,documentos
25/11/2007,nao,0,0
26/11/2007,nao,0,0
27/11/2007,sim,40,40
28/11/2007,sim,44,44
29/11/2007,sim,48,48
30/11/2007,sim,48,48
01/12/2007,sim,44,44
02/12/2007,nao,0,0
03/12/2007,nao,0,0
04/12/2007,sim,28,28
05/12/2007,sim,40,40
06/12/2007,sim,64,64
07/12/2007,sim,56,56
08/12/2007,sim,20,20
09/12/2007,nao,0,0
10/12/2007,nao,0,0
11/12/2007,sim,40,40
12/12/2007,sim,64,64
13/12/2007,sim,96,96
14/12/2007,sim,112,112
15/12/2007,sim,124,124
16/12/2007,nao,0,0
17/12/2007,nao,0,0
18/12/2007,sim,80,80
19/12/2007,sim,68,68
20/12/2007,sim,96,96
21/12/2007,sim,52,52
22/12/2007,sim,32,32
23/12/2007,nao,0,0
24/12/2007,nao,0,0
25/12/2007,nao,0,0
26/12/2007,nao,0,0
27/12/2007,sim,8,8
28/12/2007,sim,8,8
29/12/2007,sim,8,8
30/12/2007,nao,0,0
31/12/2007,nao,0,0
01/01/2008,nao,0,0
02/01/2008,nao,0,0
03/01/2008,sim,16,16
04/01/2008,sim,4,4
05/01/2008,sim,4,4
06/01/2008,nao,0,0
07/01/2008,nao,0,0
08/01/2008,sim,16,16
09/01/2008,sim,8,8
10/01/2008,sim,16,16
11/01/2008,sim,24,24
12/01/2008,sim,20,20
13/01/2008,nao,0,0
14/01/2008,nao,0,0
15/01/2008,sim,24,24
16/01/2008,sim,116,116
17/01/2008,sim,20,20
18/01/2008,sim,24,24
19/01/2008,sim,28,28
20/01/2008,nao,0,0
21/01/2008,nao,0,0
22/01/2008,sim,16,16
23/01/2008,sim,12,12
24/01/2008,sim,24,24
25/01/2008,sim,16,16
26/01/2008,nao,0,0
27/01/2008,nao,0,0
28/01/2008,nao,0,0
29/01/2008,sim,16,16
30/01/2008,sim,88,88
31/01/2008,sim,20,20
01/02/2008,sim,24,24
02/02/2008,sim,16,16
03/02/2008,nao,0,0
04/02/2008,nao,0,0
05/02/2008,nao,0,0
06/02/2008,nao,0,0
07/02/2008,sim,20,20
08/02/2008,sim,24,24
09/02/2008,sim,16,16
10/02/2008,nao,0,0
11/02/2008,nao,0,0
12/02/2008,sim,28,28
13/02/2008,sim,40,40
14/02/2008,sim,48,48
15/02/2008,sim,24,24
16/02/2008,sim,28,28
17/02/2008,nao,0,0
18/02/2008,nao,0,0
19/02/2008,sim,32,32
20/02/2008,sim,44,44
21/02/2008,sim,56,56
22/02/2008,sim,40,40
23/02/2008,sim,28,28
24/02/2008,nao,0,0
25/02/2008,nao,0,0
26/02/2008,sim,36,36
27/02/2008,sim,48,48
